Striped coloring (storing nothing),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_normi/norm0: 0.341176
2438.04
2438.08
2437.36
2437.6
2437.66
2438.2
2437.81
2437.3
2437.84
2438.21
2437.33
2437.87
2437.3
2437.45
2437.74
2437.24
2437.58
2437.98
2438.17
2438.21
2438.34
2437.01
2438.04
2437.52
2437.78
