Striped coloring (storing nothing),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_normi/norm0: 0.473484
95.7723
95.4152
95.363
95.3949
95.3726
95.3972
95.3466
95.3711
95.3361
95.3138
95.4845
95.3929
95.424
95.6691
95.3653
95.3737
95.3857
95.4773
95.3921
95.49
95.2702
95.4287
95.3104
95.4145
95.5075
