Striped coloring (storing nothing),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_normi/norm0: 0.616027
1087.81
1089.25
1090.78
1090.52
1090.37
1089.95
1090.81
1090.76
1091.38
1089.71
1090.94
1091.63
1092.01
1091.97
1092.17
1092.18
1092.6
1092.08
1092.19
1091.45
1091.44
1091.85
1092.37
1091.89
1092.14
