Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_normi/norm0: 0.341176
32.2205
31.9353
31.8529
31.8853
31.8089
31.8589
31.8756
31.8959
31.8297
31.9125
31.8043
31.8623
31.8244
31.7186
31.958
31.8223
31.9317
31.9256
31.8428
31.8709
31.9295
31.8523
31.9092
31.884
31.8458
