Striped coloring (storing nothing),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_normi/norm0: 0.473484
95.2168
94.7268
95.1211
95.2204
95.2111
95.1429
95.1414
95.1558
95.0247
95.0766
95.1081
95.1564
94.9072
95.1598
95.1361
94.7164
95.1033
94.6074
94.824
95.0695
94.5982
95.0667
95.1456
95.0388
95.1107
