Striped coloring (storing nothing),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_normi/norm0: 0.473484
9981.92
9979.74
9981.77
9981.32
9981.25
9979.91
9980.99
9980.78
9981.08
9980.46
9980.43
9980.33
9979.24
9980.03
9979.38
9980.12
9977.86
9977.43
9977.79
9976.34
9976.75
9977.09
9976.29
9975.83
9975.79
