Striped coloring (storing nothing),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_normi/norm0: 0.616027
51837.8
51828.2
51829.6
51843
51842.9
51840.8
51831.5
51843.1
51415.3
51837.2
51814.1
51550.4
51832.6
51828.7
51827.3
51832.5
51835.8
51837.8
51835.4
51834.4
51832.9
51829.4
51834.9
51529.9
51837.3
