Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.238672
4.36739
4.29178
4.25434
4.2839
4.27974
4.26029
4.27552
4.2327
4.24653
4.2344
4.22842
4.22368
4.27686
4.25869
4.2247
4.26512
4.26509
4.26016
4.21507
4.22563
4.23626
4.2319
4.25056
4.24474
4.27366
