Striped coloring (storing nothing),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_normi/norm0: 0.746814
1232.58
1231.41
1231.34
1231.49
1231.57
1231.86
1231.86
1231.54
1231.8
1231.24
1231.87
1226.92
1224.51
1224.25
1224.53
1224.19
1224.15
1224.24
1224.29
1224.83
1224.05
1224.11
1223.79
1223.41
1224.38
