Striped coloring (storing nothing),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_normi/norm0: 0.616027
273.726
272.255
272.113
272.418
272.177
272.143
272.132
272.175
272.224
272.209
271.969
271.828
272.165
272.244
272.056
272.151
272.116
272.14
272.087
272.106
271.931
271.84
271.962
272.005
272.306
