Striped coloring (storing nothing),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_normi/norm0: 0.341176
44.3685
43.8484
43.9081
43.8388
43.9493
43.8621
43.916
43.8151
43.9263
43.8825
43.9054
43.9001
43.9829
43.9678
43.9281
43.8651
43.8433
43.8332
43.9395
43.853
43.9102
43.7661
43.8969
43.8783
43.8194
