Striped coloring (storing nothing),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_normi/norm0: 0.746814
453830
455127
456379
455155
454660
454237
453729
454586
454809
454134
455061
455400
454205
455017
454467
455044
454268
454337
454619
454436
454208
455832
454910
454701
453939
