Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_normi/norm0: 0.616027
154.943
153.814
153.379
153.619
153.667
153.403
153.308
153.301
153.464
153.608
153.261
153.454
153.618
153.43
153.29
153.378
153.287
153.573
153.319
153.392
153.255
153.459
153.492
153.467
153.45
