Striped coloring (storing nothing),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_normi/norm0: 0.238672
560.859
560.112
559.817
559.895
560.319
560.147
559.976
559.924
560.353
560.355
559.887
560.182
560.213
559.727
560.272
560.125
560.021
559.677
560.103
559.943
559.616
560.055
560.854
560.448
559.977
