Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_normi/norm0: 0.341176
1771.73
1771.42
1771.43
1759.1
1771.66
1771.39
1772.41
1771.05
1770.24
1770.64
1772.05
1771.25
1770.96
1770.24
1771.25
1770.44
1771.13
1771.02
1771.32
1771.73
1771.14
1770.35
1771.04
1770.54
1767.32
