Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_normi/norm0: 0.616027
1087.91
1090.23
1090.85
1090.66
1090.8
1091.46
1091.75
1091.08
1090.9
1092.01
1092.46
1091.05
1091.89
1092.02
1091.76
1092.26
1092.12
1092.91
1092.6
1092.02
1091.12
1092.56
1092.94
1092.04
1092.33
