Striped coloring (storing nothing),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_normi/norm0: 0.746814
9139.75
9158.93
9153.19
9157.48
9158.92
9158.09
9165.22
9161.94
9166.71
9165.59
9186.85
9171.91
9169.49
9168.69
9173.54
9170.29
9176.08
9175.52
9174.55
9173.86
9174.94
9174.26
9179.1
9174.2
9178.86
