Striped coloring (storing nothing),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_normi/norm0: 0.238672
8.64435
8.65482
8.6257
8.68592
8.65536
8.65894
8.6416
8.68307
8.65651
8.63338
8.64749
8.67418
8.6951
8.49158
8.60512
8.66534
8.64736
8.63661
8.63859
8.66614
8.69395
8.68736
8.67338
8.68282
8.66262
