Striped coloring (storing nothing),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_normi/norm0: 0.341176
20.5958
20.5778
20.5483
20.5589
20.5224
20.5743
20.5776
20.5302
20.5597
20.5643
20.6022
20.567
20.6157
20.5607
20.5638
20.5154
20.4947
20.53
20.5887
20.5212
20.5585
20.5353
20.572
20.5825
20.5597
