Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_normi/norm0: 0.473484
67.8685
67.5854
67.5146
67.5456
67.5218
67.53
67.4793
67.27
67.5092
67.6451
67.6852
67.455
67.6332
67.6342
67.5891
67.6499
67.6075
67.584
67.6205
67.5231
67.6112
67.6028
67.5923
67.5688
67.4657
