Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_normi/norm0: 0.238672
14.9108
14.7458
14.8286
14.7184
14.7873
14.7404
14.7932
14.7366
14.8489
14.8481
14.7475
14.78
14.7461
14.755
14.7613
14.7745
14.7778
14.7758
14.7536
14.8234
14.7744
14.7723
14.8203
14.8351
14.7662
