Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_normi/norm0: 0.341176
20.9936
20.8812
20.7293
20.88
20.8282
20.8303
20.8841
20.8887
20.7284
20.86
20.8965
20.8608
20.8559
20.8325
20.7086
20.8361
20.9082
20.75
20.909
20.8244
20.8802
20.834
20.8528
20.8805
20.8435
