Striped Warp Reduction (8x physical cores occupied),41-44,3d_27pt,128,128,128,2097152,Dot,vanilla_version
0.072
0.070624
0.070496
0.071648
0.071712
0.072704
0.072704
0.070656
0.069728
0.069632
