Striped Warp Reduction (8x physical cores occupied),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.05136
0.049152
0.049152
0.049152
0.049152
0.049152
0.05632
0.052128
0.050176
0.050176
