Striped Warp Reduction (8x physical cores occupied),41-44,3d_27pt,256,256,128,8388608,Dot,vanilla_version
0.209664
0.20992
0.208672
0.205696
0.205664
0.206848
0.206624
0.207936
0.20592
0.206624
