Striped Warp Reduction (8x physical cores occupied),41-44,3d_27pt,256,128,128,4194304,Dot,vanilla_version
0.118688
0.116736
0.117664
0.115712
0.115808
0.116512
0.11776
0.11664
0.117568
0.115872
