Striped Warp Reduction (8x physical cores occupied),41-44,3d_27pt,16,16,16,4096,Dot,vanilla_version
0.01376
0.013312
0.011264
0.012288
0.012288
0.011264
0.012288
0.011264
0.011264
0.011328
