Striped Warp Reduction (8x physical cores occupied),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.029952
0.027648
0.026624
0.026624
0.026624
0.026528
0.026624
0.025728
0.026624
0.026624
