Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version
4.18301
4.16496
4.10013
3.90333
3.93114
3.9015
3.908
4.0623
3.90822
3.91571
