Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version
0.90112
0.904192
0.899072
0.902144
0.900096
0.898048
0.90624
0.898112
0.892928
0.893952
