Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version
10.5609
10.4511
10.2914
10.4065
10.3333
10.3653
10.3668
10.3545
10.3347
10.3755
