Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version
2.03674
2.0368
2.02854
2.03069
2.03162
2.02957
2.03469
2.02854
2.03059
2.03162
