Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version
8.91226
8.90896
8.92445
8.88384
8.85165
8.89706
8.85955
8.84749
8.87555
8.90918
