Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version
8.08563
8.04563
8.05322
8.08579
8.04589
8.03971
8.06595
8.03283
8.04202
8.03725
