Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version
19.3651
19.2098
19.1911
19.0983
19.1285
19.1319
19.08
19.0975
19.149
19.154
