Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.0538694
2.66723
2.66736
2.66707
2.66781
2.66797
2.65501
2.65299
2.67264
2.65146
2.65136
