Banded Preprocessed (x=0),41-44,3d_27pt,32,32,32,830584,SymGS,SymGS cooperation number = 16
82.5642
82.5848
82.5779
82.5592
82.5555
82.5644
82.5384
82.6239
82.5369
82.5191
