Banded Preprocessed (x=0),41-44,3d_27pt,8,8,8,10648,SymGS,SymGS cooperation number = 16
1.23085
1.19088
1.18989
1.18989
1.18886
1.18989
1.18886
1.18989
1.19091
1.18989
