Banded Preprocessed (x=0),41-44,3d_27pt,128,64,64,13790200,SymGS,SymGS cooperation number = 16
1398.97
1371.6
1371.53
1371.49
1371.49
1371.49
1371.49
1371.48
1371.52
1371.48
