Banded Preprocessed (x=0),41-44,3d_27pt,128,128,128,55742968,SymGS,SymGS cooperation number = 16
5509.57
5488.54
5488.57
5488.47
5488.07
5488.34
5487.79
5487.44
5487.36
5487.47
