Banded Preprocessed (x=0),41-44,3d_27pt,128,128,64,27725560,SymGS,SymGS cooperation number = 16
2762.09
2743.24
2743.31
2743.51
2743.24
2743.31
2743.54
2743.25
2742.98
2743.29
