Banded Preprocessed (x=0),41-44,3d_27pt,16,16,16,97336,SymGS,SymGS cooperation number = 16
9.31123
9.29382
9.29587
9.29389
9.29382
9.29485
9.29386
9.2928
9.2928
9.29382
