Banded explicit Shared Memory (rows_per_SM pow2 1024 threads),41-44,3d_27pt,8,8,8,10648,SPMV,align number of rows per SM with the number of threads per block
0.039552
0.03584
0.033856
0.033792
0.032768
0.033792
0.035776
0.035744
0.034816
0.033664
