Banded explicit Shared Memory (rows_per_SM pow2 1024 threads),41-44,3d_27pt,64,64,64,6859000,SPMV,align number of rows per SM with the number of threads per block
0.375648
0.361472
0.36352
0.362496
0.362464
0.362496
0.360512
0.361472
0.359424
0.35952
