Banded explicit Shared Memory (rows_per_SM pow2 1024 threads),41-44,3d_27pt,128,64,64,13790200,SPMV,align number of rows per SM with the number of threads per block
0.693184
0.67488
0.672768
0.664576
0.67072
0.668672
0.671744
0.671744
0.671616
0.67072
