Striped Box coloring (coloringBox: 13x13x13),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1419.73
56.7686
56.9168
56.8653
56.8057
56.9684
56.8829
56.8851
56.9614
56.9013
56.9129
