Striped Box coloring (coloringBox: 14x14x14),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 986.271
70.5933
70.8175
70.8792
70.8407
70.8919
70.8805
70.7176
70.7865
70.7742
70.7257
