Striped Box coloring (coloringBox: 11x11x11),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 32.9401
21.2685
21.1722
21.0176
20.9808
21.1026
21.0637
21.1364
21.0964
21.12
21.0411
