Striped Box coloring (coloringBox: 13x13x13),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 990.641
56.6007
56.739
56.746
56.8002
56.9061
56.8649
56.8968
56.9219
56.8565
56.8559
