Striped Box coloring (coloringBox: 10x10x10),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1435.04
26.307
26.4415
26.3915
26.4374
26.4175
26.3873
26.3711
26.417
26.3879
26.3647
