Striped Box coloring (coloringBox: 14x14x14),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_L2 Norm: 688.581
70.3041
70.4168
70.3246
70.3664
70.4249
70.3669
70.3685
70.3922
70.2254
70.3128
