Striped Box coloring (coloringBox: 10x10x10),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 65.5526
18.132
18.1596
18.2149
18.2426
18.1709
18.1463
18.2077
18.217
18.2262
18.1545
