Striped Box coloring (coloringBox: 9x9x9),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1436.94
30.8473
31.0797
31.4286
31.2362
31.2203
31.2248
29.0251
28.3588
28.3122
28.3322
