Striped Box coloring (coloringBox: 11x11x11),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1430.04
34.5073
34.6465
34.6775
34.8696
34.7055
34.6709
34.871
34.6958
34.6503
34.6861
