Striped Box coloring (coloringBox: 14x14x14),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1412
70.3761
70.5344
70.562
70.599
70.5303
70.5462
70.4653
70.5007
70.604
70.7123
