Striped Box coloring (coloringBox: 10x10x10),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_L2 Norm: 166.998
24.7181
24.56
24.5699
24.5531
24.5693
24.5829
24.5478
24.6639
24.6768
24.6162
