Striped Box coloring (coloringBox: 13x13x13),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 65.5136
36.7667
36.9429
36.778
36.8938
36.8466
37.0227
37.0371
37.0012
36.9469
36.8927
