Striped Box coloring (coloringBox: 11x11x11),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 65.5535
23.9247
23.3175
22.5916
22.6959
22.697
22.5874
22.7297
22.7174
22.6314
22.7144
