Striped Box coloring (coloringBox: 14x14x14),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 481.848
70.2579
70.087
70.2034
70.3365
70.2399
70.2285
70.3244
70.2477
70.2431
70.2613
