Striped Box coloring (coloringBox: 14x14x14),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 66.4328
46.0493
46.0954
46.1906
46.0636
46.0616
46.1609
46.0298
46.1302
46.1312
46.0872
