Striped Box coloring (coloringBox: 9x9x9),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_L2 Norm: 168.687
18.4195
18.425
18.396
18.3993
18.4214
18.4104
18.4224
18.4132
18.4256
18.383
