Striped Box coloring (coloringBox: 12x12x12),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1424.91
44.6998
44.7637
44.8228
44.7618
44.857
44.7793
44.7786
44.8936
44.7621
44.7462
