Striped Box coloring (coloringBox: 14x14x14),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_L2 Norm: 165.25
53.6628
53.4797
53.6318
53.4155
53.3462
53.4024
53.4871
53.432
53.424
53.5444
