Striped Box coloring (coloringBox: 12x12x12),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 65.5509
29.1543
29.1338
29.1318
29.2997
29.1594
29.1615
29.1103
29.0345
29.1502
29.142
